date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:49	991/991	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:56%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel.js	(from http://societe-nettoyage-casablanca.com/)
14:46:49	909/909	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:56%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel2.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel2.js	(from http://societe-nettoyage-casablanca.com/)
14:46:49	909/909	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:57%20GMT	http://societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel3.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/trigger/kl-recent-work-carousel3.js	(from http://societe-nettoyage-casablanca.com/)
14:46:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2013:46:50%20GMT	http://societe-nettoyage-casablanca.com/assets/js/plugins/jquery.gmap.min.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/assets/js/plugins/jquery.gmap.min.html	(from http://societe-nettoyage-casablanca.com/)
14:46:51	978/978	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:03:20%20GMT	http://societe-nettoyage-casablanca.com/images/list-style1.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/list-style1.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:46:51	1075/1075	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:03:21%20GMT	http://societe-nettoyage-casablanca.com/images/list-style2.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/list-style2.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:46:54	27593/27593	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:05:53%20GMT	http://societe-nettoyage-casablanca.com/jas/kl-scripts.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/kl-scripts.js	(from http://societe-nettoyage-casablanca.com/)
14:46:56	31508/31508	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Jul%202019%2010:01:52%20GMT	http://societe-nettoyage-casablanca.com/fonts/fontello4fee.eot?30847743	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/fontello4fee4fee.eot	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:46:57	66740/66740	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Jul%202019%2010:06:00%20GMT	http://societe-nettoyage-casablanca.com/jas/plugins/_sliders/caroufredsel/jquery.carouFredSel-packed.js	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/jas/plugins/_sliders/caroufredsel/jquery.carouFredSel-packed.js	(from http://societe-nettoyage-casablanca.com/)
14:46:57	23080/23080	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Jul%202019%2010:01:56%20GMT	http://societe-nettoyage-casablanca.com/fonts/fontello4fee.woff?30847743	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/fontello4fee4fee.woff	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:46:58	59899/59899	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2018%20Jul%202019%2010:01:55%20GMT	http://societe-nettoyage-casablanca.com/fonts/fontello4fee.svg?30847743	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/fontello4fee4fee.svg	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:01	15540/15540	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Jul%202019%2010:02:05%20GMT	http://societe-nettoyage-casablanca.com/fonts/icomoonfdba.eot?gfgf6m	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/icomoonfdbafdba.eot	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:02	15540/15540	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2018%20Jul%202019%2010:02:05%20GMT	http://societe-nettoyage-casablanca.com/fonts/icomoond41d.eot?	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/icomoond41dd41d.eot	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:03	31340/31340	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jul%202019%2010:01:54%20GMT	http://societe-nettoyage-casablanca.com/fonts/fontello4fee.ttf?30847743	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/fontello4fee4fee.ttf	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:04	61808/61808	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2018%20Jul%202019%2010:02:08%20GMT	http://societe-nettoyage-casablanca.com/fonts/icomoonfdba.svg?gfgf6m	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/icomoonfdbafdba.svg	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:04	15376/15376	---M--	200	added ('OK')	font/ttf	date:Thu,%2018%20Jul%202019%2010:02:08%20GMT	http://societe-nettoyage-casablanca.com/fonts/icomoonfdba.ttf?gfgf6m	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/icomoonfdbafdba.ttf	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:04	2251/2251	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:02:46%20GMT	http://societe-nettoyage-casablanca.com/images/hoverme.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/hoverme.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:04	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:46%20GMT	http://societe-nettoyage-casablanca.com/images/say_hi.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/say_hi.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:05	2256/2256	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:02:46%20GMT	http://societe-nettoyage-casablanca.com/images/hoverme-dark.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/hoverme-dark.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:05	3726/3726	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:47%20GMT	http://societe-nettoyage-casablanca.com/images/shadow-up.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/shadow-up.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:06	15452/15452	---M--	200	added ('OK')	font/woff	date:Thu,%2018%20Jul%202019%2010:02:08%20GMT	http://societe-nettoyage-casablanca.com/fonts/icomoonfdba.woff?gfgf6m	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/fonts/icomoonfdbafdba.woff	(from http://societe-nettoyage-casablanca.com/css/template.css)
